"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3727","Basic search test","chromium","2026-03-17","passed","2026-03-17","","001testbasic.spec.ts","",""
"","2989","Check Top Menu Links Texts","chromium","2026-03-17","passed","2026-03-17","","001testbasic.spec.ts","",""
"","2818","Check Top Menu Links Texts2","chromium","2026-03-17","passed","2026-03-17","","002testbasic.spec.ts","",""
"","3158","Basic search test2","chromium","2026-03-17","passed","2026-03-17","","002testbasic.spec.ts","",""
